date,confirmed_cases
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,1
1/31/20,1
02-01-2020,1
02-02-2020,2
02-03-2020,3
02-04-2020,3
02-05-2020,3
02-06-2020,3
02-07-2020,3
02-08-2020,3
02-09-2020,3
02-10-2020,3
02-11-2020,3
02-12-2020,3
2/13/20,3
2/14/20,3
2/15/20,3
2/16/20,3
2/17/20,3
2/18/20,3
2/19/20,3
2/20/20,3
2/21/20,3
2/22/20,3
2/23/20,3
2/24/20,3
2/25/20,3
2/26/20,3
2/27/20,3
2/28/20,3
2/29/20,3
03-01-2020,3
03-02-2020,5
03-03-2020,5
03-04-2020,28
03-05-2020,30
03-06-2020,31
03-07-2020,34
03-08-2020,39
03-09-2020,43
03-10-2020,56
03-11-2020,62
03-12-2020,73
3/13/20,82
3/14/20,102
3/15/20,113
3/16/20,119
3/17/20,142
3/18/20,156
3/19/20,194
3/20/20,244
3/21/20,330
3/22/20,396
